id,distance,available_time_start,available_time_end,current_charge,battery_capacity,charge_speed,discharge_rate,driver_age,driver_profession,use_frequency,origin_distance
1,152,21,22,14,150,13,6,45,worker,5,12
2,229,20,21,2,100,5,9,30,student,3,25
3,142,1,5,13,120,13,3,22,student,2,18
4,64,23,24,16,150,11,6,67,retired,1,5
5,156,11,12,3,80,13,4,40,worker,4,10
6,121,5,21,17,100,12,3,55,worker,6,20
7,238,1,9,7,150,5,9,25,student,2,30
8,70,20,21,3,80,12,9,60,retired,1,7
9,152,0,18,1,150,12,8,50,worker,7,15
10,171,11,12,5,80,7,7,34,worker,3,9
11,260,21,22,9,100,5,5,48,worker,2,22
12,264,11,18,3,120,12,6,39,worker,4,19
13,124,16,17,17,80,7,8,62,retired,1,6
14,252,9,21,11,150,7,5,28,student,2,27
15,137,15,16,1,100,5,5,52,retired,1,8
16,166,14,20,9,80,9,3,46,worker,5,11
17,149,14,15,3,150,14,5,29,unemployed,2,14
18,153,18,19,13,150,11,7,41,worker,4,12
19,201,11,12,15,150,14,9,33,worker,6,17
20,180,22,23,14,80,13,8,57,retired,1,9
21,160,8,9,60,150,12,6,35,worker,6,10
22,172,18,19,55,120,11,7,42,worker,5,8
23,210,15,16,25,100,9,5,21,student,3,20
24,188,9,10,30,80,7,6,19,student,2,15
25,240,11,12,20,120,10,4,23,student,4,22
26,260,13,14,18,100,8,7,20,student,2,24
27,198,10,11,75,150,13,5,55,worker,5,12
28,170,19,20,65,120,12,6,40,worker,6,15
29,200,7,8,50,150,14,7,45,worker,5,9
30,155,17,18,70,80,11,4,30,worker,6,11
31,220,12,13,22,120,9,5,24,student,3,18
32,185,16,17,28,100,7,6,18,student,2,14
33,245,14,15,12,80,8,4,65,retired,1,30
34,230,11,12,15,100,6,5,72,retired,2,28
35,190,10,11,20,120,7,6,68,retired,1,35
36,210,13,14,25,150,8,7,75,retired,2,32
37,200,15,16,40,150,12,5,27,unemployed,2,20
38,180,9,10,35,100,10,6,33,unemployed,3,22
39,195,17,18,30,120,11,4,29,unemployed,2,18
40,170,8,9,45,80,9,7,41,unemployed,3,15
41,160,7,8,62,150,12,6,38,worker,5,9
42,176,18,19,70,120,13,5,50,worker,6,11
43,200,19,20,55,100,11,4,44,worker,6,13
44,210,8,9,48,150,12,7,29,worker,5,12
45,190,10,11,20,120,9,6,21,student,2,16
46,185,14,15,35,100,7,5,22,student,3,18
47,230,16,17,28,80,8,4,19,student,4,20
48,240,9,10,25,120,10,6,20,student,3,17
49,250,11,12,18,100,7,7,63,retired,1,34
50,210,13,14,22,120,9,6,70,retired,2,29
51,195,15,16,27,150,10,5,68,retired,1,32
52,225,12,13,12,100,6,7,74,retired,1,38
53,205,10,11,30,120,10,5,28,unemployed,2,19
54,180,17,18,40,150,12,4,35,unemployed,3,21
55,200,9,10,32,100,9,6,30,unemployed,2,23
56,175,14,15,38,80,8,7,45,unemployed,3,20
57,165,8,9,68,120,13,6,36,worker,6,12
58,185,18,19,72,150,14,7,48,worker,5,14
59,190,7,8,58,100,12,5,41,worker,6,10
60,175,17,18,65,80,11,4,33,worker,5,9
